Comment,Designator,Footprint,"LCSC Part Number"
"10u","C1,C2,C17","Capacitor_SMD:C_0805_2012Metric","C15850"
"27p","C14,C15","Capacitor_SMD:C_0402_1005Metric","C52923"
"100n","C3,C4,C5,C6,C7,C8,C10,C12,C13,C16","Capacitor_SMD:C_0402_1005Metric","C126504"
"1u","C9,C11","Capacitor_SMD:C_0402_1005Metric","C307331"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.7mm_M2.5",""
"Conn_02x18_Odd_Even","J1,J4","Connector_PinHeader_2.54mm:PinHeader_2x18_P2.54mm_Vertical","C168945"
"Conn_01x02","J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C124375"
"USB_B_Micro","J3","RP2040_minimal:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified","C428495"
"DNF","R1","Capacitor_SMD:C_0402_1005Metric",""
"1k","R2,R5","Capacitor_SMD:C_0402_1005Metric","C11702"
"27","R3,R4","Capacitor_SMD:C_0402_1005Metric","C274349"
"NCP1117-3.3_SOT223","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C26537"
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"RP2040","U3","RP2040_minimal:RP2040-QFN-56","C2040"
"ABLS-12.000MHZ-B4-T","Y1","RP2040_minimal:Crystal_SMD_HC49-US","C110563"
